Date,Open,High,Low,Close,Volume
"Aug 1, 2024","3,180.00","3,258.00","3,151.70","3,217.25","61,49,883"
"Aug 2, 2024","3,200.00","3,215.00","3,111.00","3,160.90","33,60,209"
"Aug 5, 2024","3,085.00","3,133.05","2,996.30","3,038.20","22,38,921"
"Aug 6, 2024","3,084.00","3,142.80","3,057.25","3,072.70","21,25,201"
"Aug 7, 2024","3,118.00","3,190.00","3,112.00","3,185.95","18,68,169"
"Aug 8, 2024","3,190.55","3,242.65","3,156.55","3,167.55","21,39,376"
"Aug 9, 2024","3,209.00","3,219.30","3,171.05","3,187.55","7,60,165"
"Aug 12, 2024","3,100.00","3,169.85","3,014.00","3,151.75","1,03,07,245"
"Aug 13, 2024","3,170.05","3,178.10","3,081.75","3,092.20","21,92,588"
"Aug 14, 2024","3,085.70","3,085.70","3,027.75","3,040.10","12,32,383"
"Aug 16, 2024","3,070.00","3,121.60","3,039.35","3,108.80","9,70,067"
"Aug 19, 2024","3,122.05","3,134.30","3,092.95","3,102.55","5,57,265"
"Aug 20, 2024","3,118.95","3,126.00","3,058.85","3,070.65","6,62,263"
"Aug 21, 2024","3,070.65","3,153.30","3,068.40","3,115.70","13,79,240"
"Aug 22, 2024","3,130.75","3,150.00","3,091.00","3,099.05","13,78,912"
"Aug 23, 2024","3,101.00","3,123.00","3,067.60","3,076.35","13,75,224"
"Aug 26, 2024","3,088.00","3,090.00","3,055.00","3,069.00","16,32,446"
"Aug 27, 2024","3,072.20","3,095.75","3,064.00","3,067.10","13,10,440"
"Aug 28, 2024","3,078.00","3,078.00","3,022.10","3,028.00","15,69,652"
"Aug 29, 2024","3,030.00","3,041.95","2,981.30","3,020.15","18,53,966"
"Aug 30, 2024","3,030.00","3,038.55","3,003.30","3,019.35","35,09,174"
"Sep 2, 2024","3,021.10","3,059.15","2,997.60","3,042.15","18,42,658"
"Sep 3, 2024","3,037.00","3,053.05","3,023.80","3,036.10","13,71,577"
"Sep 4, 2024","3,010.00","3,025.00","2,955.20","3,012.35","12,12,270"
"Sep 5, 2024","3,025.00","3,037.90","3,002.00","3,015.35","7,34,273"
"Sep 6, 2024","3,019.00","3,025.00","2,968.00","2,975.45","12,51,165"
"Sep 9, 2024","2,972.10","2,972.50","2,927.30","2,964.15","15,23,581"
"Sep 10, 2024","2,971.60","3,007.40","2,947.60","2,986.40","8,03,782"
"Sep 11, 2024","2,985.00","2,992.95","2,928.00","2,937.85","8,88,628"
"Sep 12, 2024","2,950.00","3,000.00","2,917.15","2,991.00","13,14,173"
"Sep 13, 2024","2,972.00","3,001.95","2,956.05","2,968.35","8,15,948"
"Sep 16, 2024","2,972.00","3,026.40","2,972.00","2,984.90","6,95,162"
"Sep 17, 2024","2,990.05","2,995.90","2,952.50","2,975.20","6,98,700"
"Sep 18, 2024","2,976.00","2,984.75","2,935.00","2,956.30","8,31,891"
"Sep 19, 2024","2,975.05","2,975.25","2,890.35","2,943.15","16,55,401"
"Sep 20, 2024","2,948.15","3,025.00","2,942.05","3,008.50","17,87,210"
"Sep 23, 2024","3,020.00","3,070.00","3,015.25","3,043.95","8,97,314"
"Sep 24, 2024","3,055.00","3,101.00","3,040.25","3,093.90","10,21,918"
"Sep 25, 2024","3,108.00","3,123.90","3,080.20","3,105.10","9,13,008"
"Sep 26, 2024","3,085.00","3,148.00","3,085.00","3,122.65","15,48,019"
"Sep 27, 2024","3,122.00","3,179.00","3,116.00","3,130.30","22,97,441"
"Sep 30, 2024","3,129.00","3,209.90","3,120.40","3,135.85","16,07,429"
"Oct 1, 2024","3,136.30","3,192.00","3,107.00","3,186.10","13,67,116"
"Oct 3, 2024","3,150.00","3,196.35","3,084.10","3,116.00","13,09,703"
"Oct 4, 2024","3,119.90","3,149.50","3,070.00","3,110.65","9,87,583"
"Oct 7, 2024","3,110.65","3,128.50","2,980.45","3,018.00","17,43,454"
"Oct 8, 2024","3,018.50","3,170.00","2,994.85","3,160.70","17,76,511"
