Date,Open,High,Low,Close,Volume
"Aug 1, 2024","1,622.90","1,650.05","1,617.95","1,638.80","13,107,587"
"Aug 2, 2024","1,631.00","1,670.50","1,631.00","1,659.15","22,059,619"
"Aug 5, 2024","1,640.10","1,646.00","1,601.00","1,615.75","20,666,817"
"Aug 6, 2024","1,630.00","1,632.95","1,593.30","1,601.20","22,558,025"
"Aug 7, 2024","1,617.00","1,630.00","1,602.20","1,623.50","21,173,132"
"Aug 8, 2024","1,624.00","1,653.30","1,619.25","1,642.70","16,988,475"
"Aug 9, 2024","1,652.00","1,662.55","1,645.80","1,650.20","13,322,309"
"Aug 12, 2024","1,652.00","1,675.95","1,647.35","1,660.10","19,658,098"
"Aug 13, 2024","1,628.00","1,632.40","1,601.15","1,603.20","27,027,521"
"Aug 14, 2024","1,606.50","1,613.70","1,603.20","1,607.80","16,167,214"
"Aug 16, 2024","1,628.50","1,634.15","1,611.00","1,632.10","13,924,623"
"Aug 19, 2024","1,637.65","1,637.65","1,623.70","1,631.55","9,751,082"
"Aug 20, 2024","1,627.45","1,646.00","1,627.45","1,637.70","15,567,247"
"Aug 21, 2024","1,628.10","1,634.55","1,617.80","1,625.80","23,815,452"
"Aug 22, 2024","1,632.00","1,638.30","1,628.00","1,631.30","10,650,319"
"Aug 23, 2024","1,634.00","1,634.00","1,623.00","1,625.05","10,166,711"
"Aug 26, 2024","1,632.20","1,647.95","1,632.20","1,639.95","11,182,133"
"Aug 27, 2024","1,643.40","1,647.40","1,632.20","1,637.75","17,886,622"
"Aug 28, 2024","1,637.75","1,639.75","1,630.20","1,637.10","13,460,594"
"Aug 29, 2024","1,642.00","1,644.40","1,631.15","1,638.55","24,526,302"
"Aug 30, 2024","1,656.00","1,662.00","1,621.15","1,636.90","222,671,050"
"Sep 2, 2024","1,646.80","1,646.80","1,623.20","1,626.95","17,024,840"
"Sep 3, 2024","1,634.00","1,639.95","1,624.60","1,637.35","18,641,430"
"Sep 4, 2024","1,639.00","1,644.80","1,632.00","1,641.80","12,341,372"
"Sep 5, 2024","1,646.00","1,649.90","1,642.00","1,645.45","11,438,159"
"Sep 6, 2024","1,638.30","1,647.75","1,634.10","1,636.95","13,014,801"
"Sep 9, 2024","1,638.00","1,648.50","1,630.10","1,646.50","11,896,457"
"Sep 10, 2024","1,654.00","1,654.00","1,638.00","1,650.35","13,303,323"
"Sep 11, 2024","1,650.40","1,652.50","1,639.20","1,643.90","11,113,342"
"Sep 12, 2024","1,654.00","1,670.00","1,647.05","1,666.60","16,212,023"
"Sep 13, 2024","1,674.00","1,674.00","1,657.05","1,665.95","11,930,266"
"Sep 16, 2024","1,667.00","1,677.80","1,664.05","1,670.95","7,586,410"
"Sep 17, 2024","1,678.00","1,678.00","1,664.15","1,668.80","10,063,561"
"Sep 18, 2024","1,671.85","1,698.90","1,671.10","1,694.80","20,458,671"
"Sep 19, 2024","1,699.20","1,719.00","1,699.15","1,708.50","15,325,888"
"Sep 20, 2024","1,716.50","1,744.95","1,707.55","1,741.20","30,311,693"
"Sep 23, 2024","1,749.00","1,766.35","1,740.25","1,759.80","13,482,675"
"Sep 24, 2024","1,765.00","1,781.65","1,754.25","1,768.05","16,519,518"
"Sep 25, 2024","1,760.15","1,788.00","1,760.15","1,779.10","15,982,656"
"Sep 26, 2024","1,773.05","1,788.00","1,768.05","1,783.45","15,949,822"
"Sep 27, 2024","1,777.00","1,778.20","1,750.00","1,752.65","17,806,751"
"Sep 30, 2024","1,748.80","1,751.45","1,724.40","1,732.05","13,191,767"
"Oct 1, 2024","1,724.00","1,742.00","1,720.10","1,726.20","12,286,142"
"Oct 3, 2024","1,715.65","1,726.15","1,673.35","1,682.00","24,236,699"
"Oct 4, 2024","1,674.50","1,690.65","1,653.00","1,657.65","24,341,616"
"Oct 7, 2024","1,652.20","1,659.00","1,613.00","1,617.80","47,229,148"
"Oct 8, 2024","1,630.00","1,656.80","1,622.00","1,651.05","14,867,203"
"Oct 9, 2024","1,649.50","1,656.75","1,628.70","1,633.15","20,562,821"
"Oct 10, 2024","1,639.00","1,665.45","1,632.50","1,662.40","10,877,383"
"Oct 11, 2024","1,664.45","1,664.45","1,643.25","1,651.00","11,836,297"
"Oct 14, 2024","1,656.05","1,692.05","1,654.00","1,688.10","9,263,754"
"Oct 15, 2024","1,694.00","1,698.00","1,675.50","1,684.10","9,825,565"
"Oct 16, 2024","1,680.10","1,707.95","1,680.10","1,699.80","10,235,341"
"Oct 17, 2024","1,694.95","1,697.65","1,665.20","1,673.15","7,347,866"
"Oct 18, 2024","1,663.10","1,691.00","1,654.10","1,681.85","12,404,862"
"Oct 21, 2024","1,715.00","1,748.15","1,711.05","1,728.70","23,274,177"
"Oct 22, 2024","1,730.05","1,740.00","1,710.70","1,714.55","19,437,640"
"Oct 23, 2024","1,705.05","1,746.50","1,705.05","1,735.80","19,018,045"
"Oct 24, 2024","1,738.10","1,768.65","1,738.10","1,749.65","15,416,129"
"Oct 25, 2024","1,755.00","1,757.85","1,728.70","1,743.40","13,065,239"
"Oct 28, 2024","1,742.00","1,751.00","1,728.90","1,734.20","11,006,071"
"Oct 29, 2024","1,726.15","1,764.00","1,725.10","1,751.85","17,897,463"
"Oct 30, 2024","1,742.00","1,754.75","1,724.20","1,734.60","16,357,862"
"Oct 31, 2024","1,728.00","1,738.90","1,719.40","1,735.70","11,447,956"
"Nov 4, 2024","1,745.00","1,745.00","1,710.90","1,714.10","14,044,624"
"Nov 5, 2024","1,703.00","1,762.70","1,697.90","1,757.85","22,116,203"
"Nov 6, 2024","1,771.50","1,771.50","1,745.35","1,755.25","13,893,955"
"Nov 7, 2024","1,744.30","1,760.95","1,738.00","1,746.55","9,447,728"
"Nov 8, 2024","1,752.00","1,761.80","1,745.85","1,754.45","9,951,493"
"Nov 11, 2024","1,754.55","1,782.80","1,751.20","1,766.30","12,282,681"
"Nov 12, 2024","1,772.00","1,775.00","1,708.65","1,718.20","15,697,703"
"Nov 13, 2024","1,716.75","1,729.40","1,673.00","1,681.35","17,864,250"
"Nov 14, 2024","1,673.10","1,704.85","1,672.10","1,692.75","13,573,235"
"Nov 18, 2024","1,700.00","1,718.90","1,695.00","1,705.10","13,540,984"
"Nov 19, 2024","1,714.00","1,753.75","1,702.70","1,742.25","25,490,636"
"Nov 21, 2024","1,749.40","1,759.00","1,734.20","1,741.20","17,858,256"
"Nov 22, 2024","1,743.55","1,754.30","1,729.55","1,745.60","12,386,806"
"Nov 25, 2024","1,785.05","1,803.55","1,764.90","1,785.60","213,868,637"
"Nov 26, 2024","1,810.00","1,810.00","1,769.80","1,785.55","15,467,783"
"Nov 27, 2024","1,789.90","1,817.35","1,785.15","1,812.30","16,357,488"
"Nov 28, 2024","1,819.00","1,836.10","1,788.00","1,793.15","17,861,196"
"Nov 29, 2024","1,801.30","1,804.60","1,782.90","1,796.05","13,834,768"
"Dec 2, 2024","1,803.50","1,808.15","1,775.00","1,804.70","7,555,438"
"Dec 3, 2024","1,822.70","1,837.40","1,816.10","1,826.30","21,705,121"
"Dec 4, 2024","1,838.00","1,865.00","1,831.15","1,860.10","22,334,542"
"Dec 5, 2024","1,860.00","1,879.95","1,835.20","1,865.75","19,841,357"
"Dec 6, 2024","1,857.00","1,864.20","1,844.00","1,855.85","8,891,578"
"Dec 9, 2024","1,853.65","1,880.00","1,849.00","1,870.00","13,473,956"
"Dec 10, 2024","1,877.70","1,877.70","1,858.55","1,868.10","6,662,740"
"Dec 11, 2024","1,861.70","1,871.90","1,856.75","1,863.10","7,022,713"
"Dec 12, 2024","1,851.00","1,868.65","1,848.70","1,859.25","8,646,895"
"Dec 13, 2024","1,862.50","1,875.00","1,829.25","1,871.75","9,504,501"
"Dec 16, 2024","1,865.10","1,869.95","1,855.25","1,865.20","6,553,541"
"Dec 17, 2024","1,856.35","1,862.35","1,826.50","1,833.25","10,539,766"
"Dec 18, 2024","1,829.85","1,836.00","1,807.15","1,810.70","11,711,156"
"Dec 19, 2024","1,799.60","1,801.10","1,779.00","1,793.50","12,690,385"
"Dec 20, 2024","1,782.20","1,797.55","1,767.05","1,771.50","12,846,174"
"Dec 23, 2024","1,782.00","1,806.00","1,781.30","1,801.00","5,522,296"
"Dec 24, 2024","1,802.05","1,808.70","1,789.55","1,798.10","7,242,917"
"Dec 26, 2024","1,798.55","1,812.00","1,780.75","1,790.75","5,240,839"
"Dec 27, 2024","1,794.80","1,805.95","1,789.10","1,798.25","3,629,665"
"Dec 30, 2024","1,792.20","1,815.00","1,771.00","1,777.90","11,111,109"
"Dec 31, 2024","1,770.30","1,781.80","1,765.60","1,772.85","7,058,618"
"Jan 1, 2025","1,773.45","1,794.00","1,761.10","1,782.75","3,656,903"
"Jan 2, 2025","1,777.10","1,803.45","1,773.00","1,793.75","9,279,288"
"Jan 3, 2025","1,791.00","1,795.25","1,746.30","1,749.20","12,213,097"
"Jan 6, 2025","1,740.10","1,757.20","1,705.80","1,710.50","9,408,174"
"Jan 7, 2025","1,715.00","1,721.00","1,700.00","1,713.40","6,763,953"
"Jan 8, 2025","1,708.25","1,711.65","1,683.35","1,694.30","9,869,095"
"Jan 9, 2025","1,684.15","1,689.00","1,658.10","1,667.80","20,210,111"
"Jan 10, 2025","1,671.00","1,674.90","1,654.00","1,656.75","8,726,640"
"Jan 13, 2025","1,640.00","1,646.75","1,624.30","1,630.85","10,834,533"
"Jan 14, 2025","1,639.90","1,656.20","1,637.00","1,646.60","13,330,716"
"Jan 15, 2025","1,656.50","1,662.70","1,636.30","1,643.05","7,011,446"
"Jan 16, 2025","1,652.85","1,660.55","1,642.85","1,652.05","10,606,227"
"Jan 17, 2025","1,643.50","1,650.50","1,628.50","1,636.75","11,556,038"
"Jan 20, 2025","1,626.00","1,660.95","1,626.00","1,651.25","8,778,809"
"Jan 21, 2025","1,658.25","1,661.05","1,633.05","1,642.40","15,579,072"
"Jan 22, 2025","1,642.40","1,671.90","1,625.45","1,666.05","15,309,653"
"Jan 23, 2025","1,687.00","1,687.00","1,651.25","1,664.90","17,454,579"
"Jan 24, 2025","1,660.00","1,670.30","1,644.50","1,649.80","12,118,100"
"Jan 27, 2025","1,641.10","1,643.60","1,626.00","1,629.80","11,402,083"
"Jan 28, 2025","1,647.00","1,684.30","1,647.00","1,670.40","15,089,656"
"Jan 29, 2025","1,675.00","1,681.15","1,668.85","1,677.30","6,309,945"
"Jan 30, 2025","1,681.00","1,697.90","1,672.55","1,691.50","12,872,423"
"Jan 31, 2025","1,687.25","1,704.70","1,683.95","1,698.75","7,910,843"
