Date,Open,High,Low,Close,Volume
"Aug 1, 2024","1,432.00","1,440.00","1,416.80","1,419.85","4,074,181"
"Aug 2, 2024","1,413.95","1,413.95","1,392.70","1,404.30","3,268,026"
"Aug 5, 2024","1,388.00","1,396.20","1,369.00","1,389.45","3,532,894"
"Aug 6, 2024","1,395.00","1,407.30","1,376.25","1,381.00","2,425,599"
"Aug 7, 2024","1,391.00","1,399.50","1,329.20","1,345.15","8,728,852"
"Aug 8, 2024","1,347.95","1,355.80","1,334.00","1,347.30","3,669,342"
"Aug 9, 2024","1,367.00","1,367.00","1,338.05","1,349.80","5,082,087"
"Aug 12, 2024","1,349.80","1,357.60","1,336.65","1,350.85","4,436,342"
"Aug 13, 2024","1,355.00","1,371.65","1,343.50","1,350.60","3,905,817"
"Aug 14, 2024","1,356.95","1,356.95","1,335.95","1,338.10","4,868,357"
"Aug 16, 2024","1,347.10","1,367.90","1,338.55","1,364.15","5,456,176"
"Aug 19, 2024","1,370.05","1,375.80","1,345.55","1,347.60","5,895,105"
"Aug 20, 2024","1,363.90","1,391.65","1,357.20","1,381.30","5,507,239"
"Aug 21, 2024","1,380.00","1,387.35","1,366.40","1,384.00","5,441,231"
"Aug 22, 2024","1,384.05","1,395.95","1,379.60","1,381.90","3,510,879"
"Aug 23, 2024","1,382.00","1,390.30","1,373.80","1,388.55","2,252,945"
"Aug 26, 2024","1,395.30","1,395.55","1,379.80","1,384.50","2,541,300"
"Aug 27, 2024","1,385.90","1,387.15","1,377.55","1,383.20","1,167,406"
"Aug 28, 2024","1,389.05","1,421.95","1,382.55","1,415.75","6,532,773"
"Aug 29, 2024","1,414.20","1,423.05","1,405.25","1,417.45","3,316,387"
"Aug 30, 2024","1,422.15","1,430.00","1,415.55","1,425.25","2,792,988"
"Sep 2, 2024","1,425.25","1,451.25","1,425.25","1,449.05","4,024,426"
"Sep 3, 2024","1,450.00","1,451.90","1,433.90","1,436.70","2,351,018"
"Sep 4, 2024","1,417.00","1,439.25","1,417.00","1,434.40","2,919,356"
"Sep 5, 2024","1,443.00","1,444.00","1,418.90","1,422.90","3,427,784"
"Sep 6, 2024","1,426.45","1,438.20","1,401.50","1,409.35","2,608,515"
"Sep 9, 2024","1,409.35","1,431.00","1,400.10","1,428.10","1,802,343"
"Sep 10, 2024","1,428.90","1,438.50","1,420.60","1,435.55","2,414,043"
"Sep 11, 2024","1,435.40","1,438.95","1,417.80","1,421.20","2,622,902"
"Sep 12, 2024","1,425.15","1,446.50","1,420.15","1,443.35","2,437,399"
"Sep 13, 2024","1,450.00","1,470.95","1,442.35","1,464.05","2,999,055"
"Sep 16, 2024","1,469.95","1,473.95","1,461.10","1,470.20","1,495,683"
"Sep 17, 2024","1,478.00","1,483.50","1,462.25","1,466.35","1,866,702"
"Sep 18, 2024","1,470.00","1,488.75","1,461.15","1,480.25","3,966,006"
"Sep 19, 2024","1,494.95","1,498.00","1,474.90","1,484.75","3,861,906"
"Sep 20, 2024","1,488.00","1,491.95","1,473.20","1,480.20","5,335,400"
"Sep 23, 2024","1,490.20","1,490.85","1,453.05","1,465.10","4,610,747"
"Sep 24, 2024","1,470.10","1,474.10","1,446.00","1,448.30","3,893,140"
"Sep 25, 2024","1,450.00","1,456.00","1,432.25","1,439.50","3,012,173"
"Sep 26, 2024","1,445.00","1,457.30","1,437.30","1,452.70","3,388,674"
"Sep 27, 2024","1,457.00","1,481.00","1,454.00","1,462.70","4,708,951"
"Sep 30, 2024","1,467.00","1,474.80","1,437.00","1,447.60","2,888,962"
"Oct 1, 2024","1,450.00","1,450.30","1,404.65","1,409.70","3,377,999"
"Oct 3, 2024","1,404.00","1,412.70","1,382.05","1,387.75","2,081,630"
"Oct 4, 2024","1,384.05","1,410.95","1,380.85","1,382.85","2,178,195"
"Oct 7, 2024","1,388.00","1,394.05","1,338.20","1,350.85","3,878,973"
"Oct 8, 2024","1,357.85","1,371.00","1,343.55","1,359.55","2,429,248"
"Oct 9, 2024","1,369.00","1,371.50","1,335.55","1,341.55","5,269,772"
"Oct 10, 2024","1,350.00","1,362.00","1,344.30","1,356.40","1,673,393"
"Oct 11, 2024","1,360.10","1,371.30","1,339.00","1,347.60","2,755,874"
"Oct 14, 2024","1,354.60","1,371.50","1,348.30","1,370.45","1,381,439"
"Oct 15, 2024","1,371.00","1,374.45","1,349.45","1,360.90","2,775,029"
"Oct 16, 2024","1,355.00","1,358.35","1,341.10","1,346.30","2,126,519"
"Oct 17, 2024","1,348.00","1,354.25","1,337.00","1,347.35","1,353,852"
"Oct 18, 2024","1,345.00","1,354.95","1,331.00","1,347.25","3,676,670"
"Oct 21, 2024","1,352.05","1,353.95","1,299.60","1,308.25","5,862,686"
"Oct 22, 2024","1,309.10","1,312.20","1,271.25","1,274.35","4,183,194"
"Oct 23, 2024","1,274.35","1,284.90","1,266.50","1,274.30","4,860,497"
"Oct 24, 2024","1,276.00","1,285.95","1,258.15","1,280.05","2,441,333"
"Oct 25, 2024","1,163.00","1,166.75","1,025.50","1,041.60","56,935,420"
"Oct 28, 2024","1,051.40","1,084.65","1,031.00","1,054.80","11,099,823"
"Oct 29, 2024","1,058.80","1,058.80","1,018.10","1,038.15","7,951,124"
"Oct 30, 2024","1,037.65","1,069.40","1,030.25","1,056.40","8,907,271"
"Oct 31, 2024","1,054.00","1,066.90","1,044.00","1,055.60","4,509,824"
"Nov 4, 2024","1,067.00","1,070.50","1,054.10","1,063.80","5,143,749"
"Nov 5, 2024","1,063.70","1,092.40","1,062.00","1,090.10","4,840,541"
"Nov 6, 2024","1,092.30","1,098.60","1,068.25","1,077.65","7,153,974"
"Nov 7, 2024","1,086.00","1,086.00","1,051.00","1,056.80","4,901,367"
"Nov 8, 2024","1,061.45","1,061.45","1,048.05","1,053.80","2,107,903"
"Nov 11, 2024","1,053.00","1,067.50","1,040.00","1,060.80","4,918,839"
"Nov 12, 2024","1,061.30","1,065.45","1,051.55","1,059.55","2,186,055"
"Nov 13, 2024","1,053.80","1,067.80","1,032.20","1,036.70","4,850,346"
"Nov 14, 2024","1,043.00","1,045.00","1,015.00","1,017.15","2,612,235"
"Nov 18, 2024","1,015.50","1,017.95","1,000.05","1,004.60","5,427,908"
"Nov 19, 2024","1,010.50","1,032.00",998.1,"1,000.20","5,718,490"
"Nov 21, 2024","1,000.40","1,003.00",966.4,981.45,"6,606,440"
"Nov 22, 2024",986,"1,002.45",981.4,998.2,"4,026,863"
"Nov 25, 2024","1,020.00","1,022.05",997.05,"1,003.50","6,491,357"
"Nov 26, 2024","1,011.70","1,017.70",998.1,"1,009.60","2,390,208"
"Nov 27, 2024","1,012.00","1,012.00",994.5,"1,001.95","4,798,242"
"Nov 28, 2024","1,005.95","1,013.40",991.35,993.6,"4,822,835"
"Nov 29, 2024",998.1,999.5,987.3,995.85,"4,815,934"
"Dec 2, 2024",990.05,993.15,979,990.95,"4,969,967"
"Dec 3, 2024",993,"1,011.50",991.4,998.35,"4,665,094"
"Dec 4, 2024","1,005.00","1,005.95",990.5,998.85,"4,256,690"
"Dec 5, 2024","1,006.00","1,006.00",990.55,998.2,"5,254,145"
"Dec 6, 2024","1,000.00","1,003.05",986.3,990.35,"6,258,019"
"Dec 9, 2024",992.8,994,977.8,982.6,"3,565,285"
"Dec 10, 2024",983,988.4,979.1,984.3,"3,843,321"
"Dec 11, 2024",985.5,999.9,981.25,984.85,"4,679,888"
"Dec 12, 2024",986,"1,005.50",986,997.95,"5,771,673"
"Dec 13, 2024",991,997.65,965.55,986.65,"5,674,567"
"Dec 16, 2024",987.9,"1,007.95",985.55,999.35,"3,058,066"
"Dec 17, 2024","1,002.00","1,002.00",972,975.65,"3,294,161"
"Dec 18, 2024",976.8,979.3,960.5,965.2,"2,958,191"
"Dec 19, 2024",959,966.85,948,964.4,"3,665,813"
"Dec 20, 2024",960,966.85,926.45,929.45,"4,466,131"
"Dec 23, 2024",938.95,948.8,930.05,945.7,"2,502,370"
"Dec 24, 2024",941,946,929.8,935.3,"5,603,093"
"Dec 26, 2024",940,945,928.25,931.95,"5,262,262"
"Dec 27, 2024",933.05,971.1,933.05,953.4,"6,300,341"
"Dec 30, 2024",953.3,973.5,948.85,963.5,"8,165,774"
"Dec 31, 2024",958,961.45,949.05,960.15,"2,295,670"
"Jan 1, 2025",958.6,979.3,953.5,969.4,"4,024,591"
"Jan 2, 2025",975.5,998,968.8,991.35,"3,956,740"
"Jan 3, 2025",993,"1,025.40",990.65,997.9,"5,896,120"
"Jan 6, 2025","1,004.95","1,004.95",963.2,970.05,"3,370,654"
"Jan 7, 2025",970.15,994.55,970.15,983.6,"3,581,533"
"Jan 8, 2025",985.9,986,967.1,981.05,"3,781,895"
"Jan 9, 2025",981.05,985.35,970.4,980.9,"3,134,034"
"Jan 10, 2025",971.75,975,933.05,937.6,"5,611,356"
"Jan 13, 2025",936.9,973.5,934.5,941.7,"8,752,532"
"Jan 14, 2025",945.1,979.3,945.1,962.1,"5,735,697"
"Jan 15, 2025",971.25,983,954.65,962.45,"3,633,812"
"Jan 16, 2025",967,990.65,967,975.35,"3,948,431"
"Jan 17, 2025",972.85,975.6,959,970.95,"3,066,978"
"Jan 20, 2025",966.2,980.45,948.1,970.7,"4,485,164"
"Jan 21, 2025",971.55,978.5,958,960.45,"3,369,291"
"Jan 22, 2025",964.45,977.55,949.15,970.95,"2,639,472"
"Jan 23, 2025",965.95,988.55,962.5,970.95,"3,359,986"
"Jan 24, 2025",970.85,973,948.25,950.8,"2,938,649"
"Jan 27, 2025",947,947,923.7,926.45,"3,907,787"
"Jan 28, 2025",937.35,948.95,925.7,934.15,"5,708,478"
"Jan 29, 2025",935.7,953,931.95,948.3,"2,571,504"
"Jan 30, 2025",948.3,967.4,946.1,957.05,"4,509,409"
"Jan 31, 2025",957.55,999.3,953.1,991.2,"5,365,839"
