Date,Open,High,Low,Close,Volume
"Aug 1, 2024","2,926.50","2,926.50","2,820.10","2,828.40","4,971,708"
"Aug 2, 2024","2,810.30","2,810.30","2,733.85","2,749.65","3,041,513"
"Aug 5, 2024","2,679.65","2,729.20","2,635.80","2,678.95","3,731,770"
"Aug 6, 2024","2,688.30","2,748.75","2,625.70","2,632.95","3,069,277"
"Aug 7, 2024","2,697.50","2,704.75","2,661.00","2,680.85","2,479,171"
"Aug 8, 2024","2,660.50","2,716.50","2,656.50","2,682.95","2,673,182"
"Aug 9, 2024","2,734.00","2,765.00","2,705.00","2,749.15","2,279,076"
"Aug 12, 2024","2,749.15","2,757.00","2,708.70","2,717.65","2,321,474"
"Aug 13, 2024","2,718.10","2,738.65","2,704.10","2,718.05","1,292,521"
"Aug 14, 2024","2,728.80","2,771.95","2,715.30","2,745.25","2,609,359"
"Aug 16, 2024","2,789.00","2,845.05","2,776.15","2,840.45","4,376,092"
"Aug 19, 2024","2,859.90","2,859.90","2,760.00","2,765.15","2,500,718"
"Aug 20, 2024","2,779.75","2,783.20","2,748.50","2,771.30","1,762,399"
"Aug 21, 2024","2,774.00","2,780.95","2,755.00","2,769.40","1,497,501"
"Aug 22, 2024","2,771.10","2,775.75","2,724.05","2,732.95","2,346,622"
"Aug 23, 2024","2,732.95","2,769.00","2,725.30","2,759.00","1,943,539"
"Aug 26, 2024","2,764.95","2,799.00","2,753.10","2,793.10","2,765,969"
"Aug 27, 2024","2,797.95","2,800.00","2,773.95","2,780.80","1,604,159"
"Aug 28, 2024","2,781.90","2,827.00","2,780.80","2,798.00","1,851,275"
"Aug 29, 2024","2,789.35","2,801.65","2,741.65","2,757.60","2,237,121"
"Aug 30, 2024","2,780.00","2,821.55","2,765.00","2,805.40","4,895,220"
"Sep 2, 2024","2,848.80","2,848.80","2,756.50","2,777.00","2,270,687"
"Sep 3, 2024","2,780.00","2,798.10","2,772.60","2,784.85","1,592,710"
"Sep 4, 2024","2,761.00","2,779.90","2,731.10","2,749.60","1,697,000"
"Sep 5, 2024","2,756.20","2,760.00","2,711.90","2,723.10","2,360,312"
"Sep 6, 2024","2,723.00","2,738.90","2,680.10","2,698.10","2,835,519"
"Sep 9, 2024","2,688.15","2,714.30","2,660.05","2,708.85","1,269,082"
"Sep 10, 2024","2,691.25","2,715.00","2,677.00","2,690.00","2,034,126"
"Sep 11, 2024","2,681.50","2,708.00","2,644.10","2,654.25","2,034,245"
"Sep 12, 2024","2,665.00","2,751.60","2,635.60","2,740.90","3,730,285"
"Sep 13, 2024","2,755.00","2,758.55","2,711.75","2,739.10","2,102,332"
"Sep 16, 2024","2,740.20","2,784.30","2,732.05","2,757.40","1,234,752"
"Sep 17, 2024","2,765.00","2,793.50","2,745.30","2,787.65","1,387,175"
"Sep 18, 2024","2,781.50","2,848.00","2,777.65","2,808.20","2,526,756"
"Sep 19, 2024","2,812.00","2,852.00","2,792.20","2,797.50","2,807,727"
"Sep 20, 2024","2,798.70","2,960.00","2,798.50","2,950.85","12,492,909"
"Sep 23, 2024","2,962.75","3,056.90","2,956.15","3,049.80","3,925,490"
"Sep 24, 2024","3,020.00","3,098.55","3,020.00","3,074.30","3,697,722"
"Sep 25, 2024","3,045.00","3,149.00","3,034.55","3,091.05","4,218,815"
"Sep 26, 2024","3,072.00","3,197.20","3,045.65","3,181.10","4,753,617"
"Sep 27, 2024","3,171.00","3,222.10","3,152.55","3,183.65","6,803,795"
"Sep 30, 2024","3,163.15","3,179.00","3,087.00","3,094.90","3,554,400"
"Oct 1, 2024","3,105.50","3,185.45","3,095.80","3,165.50","4,028,211"
"Oct 3, 2024","3,085.00","3,171.00","3,072.45","3,129.85","3,237,011"
"Oct 4, 2024","3,127.05","3,157.60","3,009.50","3,017.45","4,281,562"
"Oct 7, 2024","3,028.00","3,066.95","2,982.90","3,060.20","2,732,276"
"Oct 8, 2024","3,074.00","3,176.90","3,066.00","3,165.85","6,060,165"
"Oct 9, 2024","3,164.80","3,204.30","3,145.00","3,153.00","2,432,656"
"Oct 10, 2024","3,156.00","3,220.30","3,155.00","3,194.30","2,507,231"
"Oct 11, 2024","3,200.00","3,210.50","3,121.00","3,134.35","1,652,856"
"Oct 14, 2024","3,151.00","3,174.00","3,115.00","3,154.90","2,425,178"
"Oct 15, 2024","3,177.00","3,192.95","3,086.55","3,155.80","2,245,701"
