Date,Open,High,Low,Close,Volume
"Aug 1, 2024","13,393.00","13,680.00","13,112.00","13,359.05","2,040,384"
"Aug 2, 2024","13,126.00","13,174.90","12,673.05","12,726.40","1,333,355"
"Aug 5, 2024","12,490.00","12,490.00","12,027.65","12,200.85","1,131,415"
"Aug 6, 2024","12,390.00","12,554.90","12,110.00","12,131.10","623,565"
"Aug 7, 2024","12,399.00","12,450.00","12,265.90","12,371.50","433,514"
"Aug 8, 2024","12,371.00","12,392.70","12,152.15","12,218.85","358,577"
"Aug 9, 2024","12,390.00","12,390.00","12,195.10","12,224.20","320,211"
"Aug 12, 2024","12,200.00","12,370.00","12,100.00","12,273.25","291,212"
"Aug 13, 2024","12,337.00","12,340.05","12,122.00","12,176.25","464,483"
"Aug 14, 2024","12,239.00","12,239.00","12,130.00","12,205.65","449,827"
"Aug 16, 2024","12,314.95","12,343.95","12,111.00","12,213.30","552,732"
"Aug 19, 2024","12,195.00","12,244.05","12,126.80","12,149.80","277,319"
"Aug 20, 2024","12,160.50","12,310.00","12,150.10","12,214.95","471,927"
"Aug 21, 2024","12,214.95","12,248.95","12,177.05","12,220.95","295,984"
"Aug 22, 2024","12,280.00","12,325.00","12,181.00","12,276.35","501,316"
"Aug 23, 2024","12,300.00","12,375.05","12,254.40","12,302.30","440,809"
"Aug 26, 2024","12,325.00","12,334.50","12,222.00","12,243.80","232,805"
"Aug 27, 2024","12,245.00","12,530.00","12,225.10","12,496.90","477,609"
"Aug 28, 2024","12,500.00","12,519.95","12,330.00","12,357.50","313,227"
"Aug 29, 2024","12,343.00","12,480.00","12,250.00","12,453.80","608,598"
"Aug 30, 2024","12,460.00","12,570.00","12,316.20","12,403.00","2,271,179"
"Sep 2, 2024","12,373.00","12,525.00","12,350.40","12,427.40","331,514"
"Sep 3, 2024","12,474.00","12,474.30","12,359.90","12,397.10","445,514"
"Sep 4, 2024","12,325.05","12,398.00","12,234.10","12,336.25","735,076"
"Sep 5, 2024","12,337.00","12,370.00","12,230.00","12,298.60","595,865"
"Sep 6, 2024","12,250.00","12,304.85","12,094.70","12,186.15","733,354"
"Sep 9, 2024","12,197.50","12,219.85","12,102.00","12,145.75","415,790"
"Sep 10, 2024","12,150.10","12,288.05","12,098.00","12,263.40","285,122"
"Sep 11, 2024","12,260.00","12,334.00","12,165.00","12,242.60","349,799"
"Sep 12, 2024","12,262.10","12,427.00","12,151.35","12,400.85","547,830"
"Sep 13, 2024","12,365.00","12,395.00","12,291.05","12,316.05","361,093"
"Sep 16, 2024","12,321.95","12,364.00","12,256.00","12,289.00","170,114"
"Sep 17, 2024","12,285.00","12,285.00","12,151.65","12,245.75","568,161"
"Sep 18, 2024","12,240.05","12,337.95","12,170.00","12,204.10","182,282"
"Sep 19, 2024","12,259.95","12,410.00","12,206.40","12,351.50","465,608"
"Sep 20, 2024","12,360.40","12,705.15","12,360.05","12,614.50","875,654"
"Sep 23, 2024","12,625.00","12,749.00","12,625.00","12,683.10","235,586"
"Sep 24, 2024","12,583.10","12,778.95","12,583.10","12,738.60","425,916"
"Sep 25, 2024","12,727.25","12,816.20","12,611.00","12,785.30","341,172"
"Sep 26, 2024","12,835.00","13,411.00","12,830.00","13,383.80","1,471,069"
"Sep 27, 2024","13,383.00","13,541.65","13,274.45","13,495.60","865,698"
"Sep 30, 2024","13,343.55","13,500.00","13,208.70","13,238.00","415,743"
"Oct 1, 2024","13,238.00","13,300.45","13,000.05","13,166.00","388,888"
"Oct 3, 2024","12,941.05","13,148.00","12,592.30","12,647.35","863,520"
"Oct 4, 2024","12,689.90","12,877.85","12,512.50","12,605.75","679,362"
"Oct 7, 2024","12,626.05","12,648.00","12,378.00","12,527.50","465,500"
"Oct 8, 2024","12,502.25","12,630.10","12,462.05","12,531.95","387,060"
"Oct 9, 2024","12,554.95","12,850.00","12,540.50","12,760.70","465,231"
"Oct 10, 2024","12,798.90","12,965.00","12,711.50","12,944.10","492,698"
"Oct 11, 2024","12,944.10","12,980.00","12,725.00","12,776.65","274,243"
"Oct 14, 2024","12,775.00","12,799.00","12,462.30","12,537.85","488,067"
"Oct 15, 2024","12,709.00","12,709.00","12,355.00","12,446.75","532,135"
"Oct 16, 2024","12,414.05","12,454.95","12,231.00","12,383.90","418,138"
"Oct 17, 2024","12,400.00","12,420.10","12,070.00","12,143.75","875,937"
"Oct 18, 2024","12,070.00","12,141.25","11,844.45","12,105.10","506,871"
"Oct 21, 2024","12,145.55","12,250.00","11,944.55","12,175.90","375,275"
"Oct 22, 2024","12,215.95","12,289.80","11,840.00","11,923.30","904,901"
"Oct 23, 2024","11,923.30","12,119.90","11,753.45","11,956.20","412,638"
"Oct 24, 2024","11,998.95","11,998.95","11,636.90","11,763.70","552,495"
"Oct 25, 2024","11,763.60","11,794.30","11,440.00","11,502.85","624,582"
"Oct 28, 2024","11,504.80","11,632.65","11,440.00","11,483.25","613,830"
"Oct 29, 2024","11,450.00","11,483.00","10,742.45","11,046.00","2,268,683"
"Oct 30, 2024","10,979.00","11,520.00","10,945.00","11,256.45","1,672,966"
"Oct 31, 2024","11,225.00","11,247.55","11,050.00","11,076.45","838,211"
"Nov 4, 2024","11,295.00","11,295.00","10,860.00","11,052.45","444,462"
"Nov 5, 2024","11,042.00","11,275.00","11,011.90","11,170.10","321,159"
"Nov 6, 2024","11,219.00","11,430.00","11,172.60","11,354.25","416,027"
"Nov 7, 2024","11,305.15","11,385.00","11,186.60","11,300.15","530,194"
"Nov 8, 2024","11,260.50","11,344.00","11,125.60","11,303.00","269,993"
"Nov 11, 2024","11,331.50","11,518.15","11,310.00","11,399.70","450,681"
"Nov 12, 2024","11,392.05","11,516.90","11,107.25","11,143.10","549,747"
"Nov 13, 2024","11,140.00","11,142.85","10,864.30","11,049.60","507,710"
"Nov 14, 2024","11,055.00","11,117.70","10,892.10","11,006.05","431,348"
"Nov 18, 2024","10,950.00","11,182.95","10,915.00","11,093.95","333,440"
"Nov 19, 2024","11,090.00","11,195.25","10,896.40","10,959.30","864,067"
"Nov 21, 2024","10,921.15","10,958.20","10,770.00","10,861.45","540,201"
"Nov 22, 2024","10,905.00","11,106.65","10,827.25","11,063.60","493,678"
"Nov 25, 2024","11,202.00","11,247.95","10,990.05","11,025.15","635,726"
"Nov 26, 2024","11,025.15","11,077.95","10,891.45","10,943.95","406,586"
"Nov 27, 2024","10,936.00","11,116.90","10,870.00","11,058.35","343,332"
"Nov 28, 2024","11,060.40","11,080.60","10,888.00","10,949.85","607,669"
"Nov 29, 2024","10,949.95","11,130.10","10,920.00","11,074.20","338,207"
"Dec 2, 2024","11,151.00","11,330.00","11,151.00","11,239.30","446,880"
"Dec 3, 2024","11,250.00","11,309.00","11,203.00","11,279.25","258,644"
"Dec 4, 2024","11,281.00","11,300.00","11,106.00","11,129.85","554,674"
"Dec 5, 2024","11,134.95","11,270.00","11,031.00","11,182.25","545,501"
"Dec 6, 2024","11,200.00","11,375.95","11,121.00","11,317.95","417,214"
"Dec 9, 2024","11,322.00","11,368.90","11,252.55","11,279.80","254,485"
"Dec 10, 2024","11,275.00","11,314.35","11,170.00","11,198.20","410,569"
"Dec 11, 2024","11,229.90","11,320.85","11,220.60","11,277.75","226,584"
"Dec 12, 2024","11,299.35","11,299.35","11,078.25","11,167.40","396,561"
"Dec 13, 2024","11,137.40","11,290.00","11,033.60","11,272.55","263,579"
"Dec 16, 2024","11,255.55","11,329.45","11,205.00","11,277.00","223,389"
"Dec 17, 2024","11,263.00","11,272.45","11,059.70","11,108.55","295,445"
"Dec 18, 2024","11,085.00","11,098.05","10,970.10","11,002.45","497,103"
"Dec 19, 2024","10,888.00","11,035.40","10,852.45","10,955.35","435,360"
"Dec 20, 2024","10,940.00","11,077.00","10,865.95","10,901.05","404,608"
"Dec 23, 2024","10,928.00","10,989.80","10,755.40","10,822.00","237,165"
"Dec 24, 2024","10,822.00","10,887.45","10,725.00","10,736.60","151,149"
"Dec 26, 2024","10,770.50","10,974.80","10,770.00","10,896.00","349,811"
"Dec 27, 2024","10,929.50","11,133.00","10,912.60","10,941.05","257,973"
"Dec 30, 2024","10,941.05","10,950.00","10,750.10","10,798.95","335,481"
"Dec 31, 2024","10,765.00","10,893.70","10,750.60","10,858.40","198,997"
"Jan 1, 2025","10,858.00","11,273.95","10,800.20","11,208.30","383,202"
"Jan 2, 2025","11,285.00","11,859.15","11,226.00","11,841.30","1,417,042"
"Jan 3, 2025","11,849.95","12,049.80","11,787.95","11,934.25","701,315"
"Jan 6, 2025","11,929.00","11,979.90","11,690.70","11,755.65","383,268"
"Jan 7, 2025","11,755.65","11,825.95","11,673.70","11,721.30","308,104"
"Jan 8, 2025","11,726.00","11,859.95","11,725.30","11,822.00","303,100"
"Jan 9, 2025","11,822.00","11,850.00","11,659.65","11,740.55","266,413"
"Jan 10, 2025","11,690.00","11,760.00","11,570.00","11,631.10","218,246"
"Jan 13, 2025","11,468.50","11,654.45","11,468.00","11,497.70","253,524"
"Jan 14, 2025","11,533.95","11,785.55","11,531.00","11,741.15","627,463"
"Jan 15, 2025","11,890.55","12,192.40","11,861.00","11,947.40","692,822"
"Jan 16, 2025","11,981.45","12,134.00","11,956.20","12,092.30","551,211"
"Jan 17, 2025","12,101.90","12,189.90","12,004.30","12,136.35","285,370"
"Jan 20, 2025","12,147.05","12,147.05","11,984.05","12,020.05","251,731"
"Jan 21, 2025","12,017.05","12,139.80","11,862.05","11,883.70","300,038"
"Jan 22, 2025","11,900.05","12,078.85","11,900.05","12,020.35","396,590"
"Jan 23, 2025","12,005.00","12,106.30","11,961.30","12,045.75","480,876"
"Jan 24, 2025","11,930.00","12,093.00","11,914.10","11,967.90","310,343"
"Jan 27, 2025","11,901.90","12,046.90","11,811.05","11,993.85","251,783"
"Jan 28, 2025","12,018.35","12,164.70","11,884.95","12,123.75","533,451"
"Jan 29, 2025","12,120.00","12,320.70","11,885.05","11,977.90","817,549"
"Jan 30, 2025","12,021.00","12,110.85","11,923.10","12,000.00","418,442"
"Jan 31, 2025","12,000.00","12,390.00","12,000.00","12,310.65","709,009"
