Date,Open,High,Low,Close,Volume
"Aug 1, 2024","2,465.00","2,492.30","2,456.35","2,484.00","1,326,762"
"Aug 2, 2024","2,480.00","2,514.00","2,465.00","2,495.10","1,155,474"
"Aug 5, 2024","2,488.00","2,528.90","2,475.05","2,510.90","1,325,910"
"Aug 6, 2024","2,513.90","2,528.00","2,501.00","2,508.50","949,431"
"Aug 7, 2024","2,518.55","2,528.95","2,510.25","2,522.80","649,970"
"Aug 8, 2024","2,518.55","2,525.00","2,478.00","2,489.10","1,425,006"
"Aug 9, 2024","2,506.60","2,511.90","2,490.20","2,504.70","270,006"
"Aug 12, 2024","2,501.80","2,509.95","2,468.35","2,473.10","475,020"
"Aug 13, 2024","2,474.00","2,492.00","2,473.50","2,484.70","311,846"
"Aug 14, 2024","2,486.90","2,491.95","2,460.60","2,474.60","561,876"
"Aug 16, 2024","2,490.00","2,533.45","2,471.35","2,525.45","859,834"
"Aug 19, 2024","2,530.00","2,546.00","2,500.55","2,503.15","477,701"
"Aug 20, 2024","2,510.60","2,526.00","2,499.05","2,518.50","484,732"
"Aug 21, 2024","2,529.90","2,555.00","2,521.65","2,551.75","624,773"
"Aug 22, 2024","2,565.00","2,565.05","2,545.00","2,551.00","634,905"
"Aug 23, 2024","2,550.95","2,551.35","2,520.00","2,529.20","511,537"
"Aug 26, 2024","2,529.20","2,545.00","2,507.95","2,519.55","633,399"
"Aug 27, 2024","2,528.65","2,532.80","2,511.50","2,521.45","391,065"
"Aug 28, 2024","2,519.00","2,519.00","2,490.00","2,492.50","565,161"
"Aug 29, 2024","2,498.90","2,519.45","2,490.65","2,504.55","899,794"
"Aug 30, 2024","2,504.55","2,517.30","2,491.80","2,500.75","1,904,487"
"Sep 2, 2024","2,500.00","2,516.00","2,497.05","2,509.90","875,591"
"Sep 3, 2024","2,502.00","2,559.00","2,502.00","2,530.75","987,527"
"Sep 4, 2024","2,525.05","2,541.45","2,513.70","2,534.75","502,943"
"Sep 5, 2024","2,534.75","2,535.00","2,492.15","2,504.90","1,119,296"
"Sep 6, 2024","2,508.60","2,519.25","2,488.05","2,503.20","836,700"
"Sep 9, 2024","2,495.15","2,520.00","2,488.75","2,516.75","583,598"
"Sep 10, 2024","2,529.00","2,547.90","2,514.00","2,535.50","1,522,039"
"Sep 11, 2024","2,547.00","2,561.60","2,519.45","2,526.85","979,938"
"Sep 12, 2024","2,529.90","2,540.00","2,488.00","2,527.85","1,554,879"
"Sep 13, 2024","2,530.00","2,561.00","2,528.25","2,531.40","732,717"
"Sep 16, 2024","2,530.00","2,555.60","2,500.00","2,549.60","394,397"
"Sep 17, 2024","2,551.15","2,585.30","2,538.70","2,546.85","695,187"
"Sep 18, 2024","2,549.95","2,601.10","2,546.00","2,597.15","1,177,029"
"Sep 19, 2024","2,603.00","2,677.00","2,597.15","2,634.20","2,534,289"
"Sep 20, 2024","2,644.00","2,704.25","2,631.15","2,699.55","2,322,758"
"Sep 23, 2024","2,705.15","2,729.85","2,690.00","2,725.15","1,072,247"
"Sep 24, 2024","2,725.00","2,766.80","2,674.00","2,696.40","1,540,033"
"Sep 25, 2024","2,685.25","2,704.60","2,659.05","2,697.35","718,957"
"Sep 26, 2024","2,707.95","2,762.45","2,707.95","2,755.50","1,158,606"
"Sep 27, 2024","2,750.00","2,778.00","2,731.00","2,745.70","1,097,167"
"Sep 30, 2024","2,720.00","2,740.00","2,684.80","2,689.95","883,192"
"Oct 1, 2024","2,690.00","2,710.00","2,672.90","2,707.05","552,759"
"Oct 3, 2024","2,685.00","2,695.00","2,650.35","2,674.85","812,365"
"Oct 4, 2024","2,663.00","2,678.35","2,590.30","2,598.15","1,033,034"
"Oct 7, 2024","2,604.95","2,620.00","2,566.90","2,573.85","1,102,858"
"Oct 8, 2024","2,570.60","2,594.00","2,551.60","2,581.75","1,202,170"
