Date,Open,High,Low,Close,Volume
"Aug 1, 2024",419.9,424.35,415.6,423.45,"28,803,487"
"Aug 2, 2024",416.25,426.3,413.35,419.7,"24,233,263"
"Aug 5, 2024",407.65,415.65,404.65,413.25,"42,489,503"
"Aug 6, 2024",413.25,424.95,413.25,415,"18,230,579"
"Aug 7, 2024",421,421,415,416.3,"15,556,736"
"Aug 8, 2024",416.35,417,405.8,407.7,"16,447,385"
"Aug 9, 2024",413.8,416.35,408.2,410.65,"10,954,753"
"Aug 12, 2024",410,410,400.1,400.85,"26,254,763"
"Aug 13, 2024",403,404.5,395,396.2,"11,355,664"
"Aug 14, 2024",398.9,400,393.65,396.35,"9,424,614"
"Aug 16, 2024",398.05,400.95,393.3,398.05,"13,844,122"
"Aug 19, 2024",402.3,407.5,401.45,403.1,"10,677,045"
"Aug 20, 2024",404.55,408.2,403.1,406.25,"10,126,083"
"Aug 21, 2024",407.5,409.7,405.2,408.95,"9,726,854"
"Aug 22, 2024",409.8,410.05,402.25,403.35,"10,445,288"
"Aug 23, 2024",403.35,405.9,399.55,401.95,"11,513,586"
"Aug 26, 2024",402.45,415.95,401.95,414.85,"13,772,637"
"Aug 27, 2024",415.5,416.2,409.1,409.65,"8,441,188"
"Aug 28, 2024",410.05,414.4,407.35,409.05,"15,884,745"
"Aug 29, 2024",409.05,412.6,403.75,409.9,"19,014,705"
"Aug 30, 2024",412.7,419.2,411.5,416.2,"22,633,988"
"Sep 2, 2024",417.8,419.1,407.7,410,"11,107,165"
"Sep 3, 2024",410.5,411.55,405.6,406.4,"7,538,160"
"Sep 4, 2024",400,408.25,399.9,405.1,"11,052,003"
"Sep 5, 2024",405.35,408.4,401.85,403.25,"14,246,871"
"Sep 6, 2024",403.25,404.65,392.7,394.8,"17,956,121"
"Sep 9, 2024",391.2,392.75,385.3,389.85,"12,293,356"
"Sep 10, 2024",390.1,399.4,389.75,396.3,"15,852,309"
"Sep 11, 2024",399,399.3,387.5,389.65,"11,492,592"
"Sep 12, 2024",391,406.25,390.65,404.85,"24,028,069"
"Sep 13, 2024",404.85,407.3,399.35,401.4,"12,017,217"
"Sep 16, 2024",402.45,412,402,411.1,"11,479,712"
"Sep 17, 2024",411.85,417.65,410.1,416.3,"14,432,501"
"Sep 18, 2024",418.5,419.75,413,414.15,"10,303,840"
"Sep 19, 2024",424,431.85,420.55,423.95,"59,601,773"
"Sep 20, 2024",428.05,429.85,416.55,423.95,"36,084,164"
"Sep 23, 2024",427.5,430.5,425,428.35,"14,139,629"
"Sep 24, 2024",431.45,431.45,427,428.1,"12,539,885"
"Sep 25, 2024",428.1,437,425.65,436.1,"19,443,168"
"Sep 26, 2024",437.95,437.95,430.55,434.6,"20,041,825"
"Sep 27, 2024",436,442.5,433.5,436.9,"53,885,913"
"Sep 30, 2024",436.9,448.45,433.6,443.2,"20,903,229"
"Oct 1, 2024",446,447.75,438.8,440.1,"15,984,996"
"Oct 3, 2024",432,442.5,432,435.35,"13,563,784"
"Oct 4, 2024",432.9,439.35,426.3,430.45,"18,347,292"
"Oct 7, 2024",430.6,433,409.05,415.45,"23,431,004"
"Oct 8, 2024",414,427.7,411.3,420.95,"18,706,355"
"Oct 9, 2024",424.45,424.75,417,418.45,"13,916,492"
"Oct 10, 2024",420.7,429.9,420.5,422.7,"15,866,037"
"Oct 11, 2024",423.95,426.65,419.6,422.5,"8,639,087"
"Oct 14, 2024",424.6,426,420,424.5,"8,483,177"
"Oct 15, 2024",426.65,427.2,423.55,426.6,"9,365,964"
"Oct 16, 2024",425.3,429.4,421.25,424.25,"6,219,440"
"Oct 17, 2024",423.65,425.6,416.6,417.75,"11,968,387"
"Oct 18, 2024",417.7,425.95,414.45,424.95,"8,828,971"
"Oct 21, 2024",426.05,428.75,419.1,425,"9,139,781"
"Oct 22, 2024",422.85,426.3,413.45,415.75,"14,242,323"
"Oct 23, 2024",414,414.75,401.7,408.3,"22,522,821"
"Oct 24, 2024",409.25,415.25,406.8,411.9,"9,400,171"
"Oct 25, 2024",402.5,407.5,391.6,398.9,"19,642,277"
"Oct 28, 2024",398.9,406.5,397.8,403.9,"11,716,022"
"Oct 29, 2024",409,414.3,404.45,412.15,"20,284,308"
"Oct 30, 2024",414.15,414.8,405.8,408.5,"12,264,297"
"Oct 31, 2024",409,410.65,403.5,408.15,"12,204,072"
"Nov 4, 2024",413.85,414.3,393.7,400.95,"13,866,505"
"Nov 5, 2024",400,404.1,397.15,403.1,"6,665,326"
"Nov 6, 2024",406.7,410.8,403.15,408.9,"9,700,643"
"Nov 7, 2024",410.9,410.9,402,403.8,"7,589,295"
"Nov 8, 2024",403.15,404.2,395.55,397.65,"7,536,509"
"Nov 11, 2024",398.15,400.9,391.8,392.55,"12,243,693"
"Nov 12, 2024",393.15,394.8,379.05,380.3,"10,549,517"
"Nov 13, 2024",384,387.6,379.35,381.35,"20,602,407"
"Nov 14, 2024",380.05,385.2,371.35,372.5,"15,086,601"
"Nov 18, 2024",380,380,362.65,366.7,"16,383,636"
"Nov 19, 2024",368,378.5,365.05,366.7,"17,055,094"
"Nov 21, 2024",363.7,364.35,354.8,356.15,"21,276,150"
"Nov 22, 2024",357.05,367.1,355.7,365.45,"15,949,254"
"Nov 25, 2024",374,377.2,367.5,368.4,"18,388,844"
"Nov 26, 2024",370,370.4,360.25,361.65,"11,222,231"
"Nov 27, 2024",363.8,371.6,361.35,369.3,"14,225,274"
"Nov 28, 2024",369.7,371.85,359.6,362.05,"16,837,860"
"Nov 29, 2024",363.25,365.4,360.2,363.65,"14,280,017"
"Dec 2, 2024",363.65,363.9,357,358.2,"12,510,350"
"Dec 3, 2024",359,370,358.2,367.45,"14,205,760"
"Dec 4, 2024",368.95,375.15,368,372.75,"22,035,954"
"Dec 5, 2024",372.75,373.95,364.4,369.15,"18,758,283"
"Dec 6, 2024",369.45,371.2,368.05,369.5,"9,736,086"
"Dec 9, 2024",370.9,373.3,367.75,369.85,"10,878,679"
"Dec 10, 2024",369,371.2,366.4,369.15,"7,913,822"
"Dec 11, 2024",369.25,370.75,364.7,365.5,"9,998,662"
"Dec 12, 2024",366,367,353,355.6,"22,538,216"
"Dec 13, 2024",355.75,358.3,348.05,357.15,"14,269,143"
"Dec 16, 2024",357.15,358.9,351.7,352.9,"12,168,143"
"Dec 17, 2024",352,353.85,347.25,349.05,"15,646,176"
"Dec 18, 2024",349.55,351,340,341.75,"14,672,392"
"Dec 19, 2024",337,340.6,335.05,337.4,"14,513,129"
"Dec 20, 2024",337.8,343.9,331,333.25,"20,375,797"
"Dec 23, 2024",335.9,338.25,330.5,333.65,"8,884,187"
"Dec 24, 2024",335.1,336.85,331.75,335.3,"7,755,462"
"Dec 26, 2024",335.3,337.4,332.25,334.65,"9,030,212"
"Dec 27, 2024",336.65,340,334.2,335,"9,090,597"
"Dec 30, 2024",335,336.8,327.4,331.4,"36,657,549"
"Dec 31, 2024",330.1,334.6,326.2,333.35,"8,580,998"
"Jan 1, 2025",333,334.65,328.8,333.65,"7,843,971"
"Jan 2, 2025",333.65,338.6,330,338,"16,543,382"
"Jan 3, 2025",338.05,344.5,337.05,339.85,"8,689,629"
"Jan 6, 2025",341.7,341.7,326.45,327.5,"10,538,077"
"Jan 7, 2025",327,330.35,325.1,328.6,"13,891,401"
"Jan 8, 2025",330.5,330.5,321.85,325.4,"8,993,608"
"Jan 9, 2025",324.05,325.95,319.8,320.35,"12,403,467"
"Jan 10, 2025",320.35,321,307.6,308.25,"15,941,143"
"Jan 13, 2025",301.1,309.95,296.85,298.2,"29,630,336"
"Jan 14, 2025",300.45,312.7,300.2,310.4,"22,732,888"
"Jan 15, 2025",312.55,324.3,312.55,321.35,"21,894,626"
"Jan 16, 2025",324.7,327.3,321.65,325.5,"14,865,186"
"Jan 17, 2025",325.3,329,323.35,326.15,"7,129,232"
"Jan 20, 2025",326.2,337,324.55,336.05,"17,991,880"
"Jan 21, 2025",337.8,338.25,323.8,324.3,"12,774,630"
"Jan 22, 2025",327,327,317.35,322.4,"11,068,145"
"Jan 23, 2025",321,325.1,319.55,323.65,"6,477,347"
"Jan 24, 2025",324.8,329.9,322.1,323.65,"7,492,600"
"Jan 27, 2025",323.65,325.05,315,322.2,"13,803,855"
"Jan 28, 2025",322.5,323.85,308.15,318.25,"22,008,929"
"Jan 29, 2025",320,322.9,313.3,321.25,"16,056,888"
"Jan 30, 2025",322.25,326.8,321.15,323,"10,375,720"
"Jan 31, 2025",322.45,326.25,317.55,324,"13,195,557"
