Date,Open,High,Low,Close,Volume
"Aug 1, 2024","1,512.00","1,518.00","1,504.30","1,515.30","5,382,111"
"Aug 2, 2024","1,505.00","1,509.33","1,493.28","1,499.33","5,134,124"
"Aug 5, 2024","1,480.00","1,483.90","1,433.25","1,447.33","8,523,352"
"Aug 6, 2024","1,455.15","1,477.50","1,451.33","1,456.05","5,118,093"
"Aug 7, 2024","1,469.00","1,472.50","1,461.50","1,464.83","4,087,284"
"Aug 8, 2024","1,457.53","1,465.00","1,445.93","1,449.13","6,193,596"
"Aug 9, 2024","1,460.00","1,476.50","1,456.00","1,474.30","3,124,888"
"Aug 12, 2024","1,470.00","1,473.00","1,457.75","1,460.63","4,092,292"
"Aug 13, 2024","1,460.75","1,470.08","1,458.00","1,463.63","3,132,532"
"Aug 14, 2024","1,463.55","1,472.00","1,453.70","1,461.85","3,133,733"
"Aug 16, 2024","1,468.65","1,480.40","1,458.05","1,478.20","4,708,451"
"Aug 19, 2024","1,482.50","1,498.30","1,480.50","1,488.40","6,898,871"
"Aug 20, 2024","1,497.23","1,503.93","1,490.03","1,495.95","4,205,904"
"Aug 21, 2024","1,493.25","1,507.88","1,490.00","1,498.68","3,884,998"
"Aug 22, 2024","1,503.00","1,506.50","1,490.65","1,498.13","5,222,891"
"Aug 23, 2024","1,503.75","1,511.33","1,498.43","1,499.98","4,624,827"
"Aug 26, 2024","1,506.98","1,523.00","1,503.00","1,512.60","4,408,057"
"Aug 27, 2024","1,510.50","1,513.48","1,499.45","1,500.45","3,125,578"
"Aug 28, 2024","1,505.00","1,507.48","1,493.00","1,498.30","4,805,143"
"Aug 29, 2024","1,503.10","1,537.00","1,494.00","1,520.93","19,167,679"
"Aug 30, 2024","1,534.00","1,539.73","1,503.33","1,509.63","20,810,365"
"Sep 2, 2024","1,510.88","1,526.80","1,506.63","1,516.25","5,620,426"
"Sep 3, 2024","1,521.25","1,523.00","1,507.50","1,509.13","5,461,900"
"Sep 4, 2024","1,500.70","1,517.50","1,499.50","1,514.55","5,991,652"
"Sep 5, 2024","1,519.05","1,525.78","1,487.05","1,492.98","8,132,084"
"Sep 6, 2024","1,492.50","1,497.00","1,461.63","1,464.83","9,697,114"
"Sep 9, 2024","1,466.50","1,469.93","1,455.60","1,462.45","4,505,149"
"Sep 10, 2024","1,460.50","1,472.05","1,457.58","1,461.53","5,384,130"
"Sep 11, 2024","1,463.05","1,468.75","1,447.55","1,451.50","4,880,101"
"Sep 12, 2024","1,457.00","1,486.00","1,445.88","1,479.80","11,174,688"
"Sep 13, 2024","1,476.40","1,483.15","1,469.50","1,472.63","4,355,664"
"Sep 16, 2024","1,477.55","1,480.90","1,464.75","1,471.35","2,740,887"
"Sep 17, 2024","1,474.00","1,477.48","1,466.63","1,472.30","2,967,664"
"Sep 18, 2024","1,470.00","1,482.00","1,460.55","1,463.45","4,287,357"
"Sep 19, 2024","1,466.25","1,476.50","1,455.55","1,469.68","8,477,951"
