date,revenue,profit,operating_costs,customer_count,region
2024-12-01,245000.50,73500.15,171500.35,750,North
2024-12-02,198500.75,59550.23,138950.52,680,South
2024-12-03,276000.25,82800.08,193200.17,820,East
2024-12-04,232750.60,69825.18,162925.42,725,West
2024-12-05,263500.80,79050.24,184450.56,790,North
2024-12-06,287800.45,86340.14,201460.31,850,South
2024-12-07,254600.90,76380.27,178220.63,775,East
2024-12-08,298900.30,89670.09,209230.21,900,West
2024-12-09,265700.65,79710.20,185990.45,810,North
2024-12-10,309500.25,92850.08,216650.17,925,South
2024-12-11,276800.40,83040.12,193760.28,835,East
2024-12-12,287900.55,86370.17,201530.38,880,West
2024-12-13,254500.70,76350.21,178150.49,765,North
2024-12-14,318700.85,95610.26,223090.59,980,South
2024-12-15,298900.95,89670.29,209230.66,890,East
